Year,Global Temp,Dallas Temp
1820,7.62,16.88
1821,8.09,17.33
1822,8.19,17.87
1823,7.72,17.46
1824,8.55,17.9
1825,8.39,18.38
1826,8.36,17.93
1827,8.81,18.62
1828,8.17,18.26
1829,7.94,17.89
1830,8.52,18.68
1831,7.64,16.98
1832,7.45,17.81
1833,8.01,18.29
1834,8.15,18.5
1835,7.39,16.58
1836,7.7,16.67
1837,7.38,17.47
1838,7.51,16.54
1839,7.63,17.64
1840,7.8,17.62
1841,7.69,17.66
1842,8.02,17.98
1843,8.17,17.44
1844,7.65,17.92
1845,7.85,17.76
1846,8.55,18.19
1847,8.09,17.06
1848,7.98,17.4
1849,7.98,17.86
1850,7.9,17.74
1851,8.18,17.91
1852,8.1,17.4
1853,8.04,17.17
1854,8.21,18.14
1855,8.11,17.61
1856,8,16.93
1857,7.76,17.31
1858,8.1,17.9
1859,8.25,17.91
1860,7.96,18.34
1861,7.85,18.41
1862,7.56,18.35
1863,8.11,17.9
1864,7.98,17.41
1865,8.18,17.95
1866,8.29,17.79
1867,8.44,18.45
1868,8.25,17.61
1869,8.43,16.94
1870,8.2,17.82
1871,8.12,18.27
1872,8.19,17.28
1873,8.35,17.37
1874,8.43,18.24
1875,7.86,17.24
1876,8.08,17.67
1877,8.54,17.53
1878,8.83,18.01
1879,8.17,18.37
1880,8.12,17.75
1881,8.27,18.17
1882,8.13,18.21
1883,7.98,17.77
1884,7.77,17.44
1885,7.92,16.82
1886,7.95,17.22
1887,7.91,17.89
1888,8.09,17.28
1889,8.32,17.71
1890,7.97,18.5
1891,8.02,17.35
1892,8.07,17.21
1893,8.06,18.01
1894,8.16,17.96
1895,8.15,17.02
1896,8.21,18.6
1897,8.29,17.93
1898,8.18,17.41
1899,8.4,17.59
1900,8.5,18.08
1901,8.54,18.02
1902,8.3,18.03
1903,8.22,16.64
1904,8.09,18.12
1905,8.23,16.97
1906,8.38,17.3
1907,7.95,18.44
1908,8.19,18.24
1909,8.18,18.62
1910,8.22,18.49
1911,8.18,19.11
1912,8.17,17.1
1913,8.3,17.57
1914,8.59,17.75
1915,8.59,17.67
1916,8.23,18.23
1917,8.02,17.3
1918,8.13,18.2
1919,8.38,17.41
1920,8.36,17.55
1921,8.57,19.48
1922,8.41,18.6
1923,8.42,18.15
1924,8.51,17.48
1925,8.53,18.98
1926,8.73,17.62
1927,8.52,18.79
1928,8.63,17.93
1929,8.24,17.58
1930,8.63,18.04
1931,8.72,18.57
1932,8.71,17.99
1933,8.34,19.34
1934,8.63,19.34
1935,8.52,18.09
1936,8.55,18.21
1937,8.7,17.94
1938,8.86,19.12
1939,8.76,19.16
1940,8.76,17.19
1941,8.77,18.27
1942,8.73,17.94
1943,8.76,18.42
1944,8.85,18.4
1945,8.58,18.06
1946,8.68,18.91
1947,8.8,17.96
1948,8.75,18.26
1949,8.59,18.05
1950,8.37,18.15
1951,8.63,18.63
1952,8.64,18.85
1953,8.87,18.82
1954,8.56,19.67
1955,8.63,18.73
1956,8.28,19.36
1957,8.73,18.1
1958,8.77,17.63
1959,8.73,17.75
1960,8.58,17.71
1961,8.8,17.68
1962,8.75,18.32
1963,8.86,18.84
1964,8.41,18.38
1965,8.53,18.54
1966,8.6,17.61
1967,8.7,18.33
1968,8.52,17.36
1969,8.6,18.15
1970,8.7,17.91
1971,8.6,18.51
1972,8.5,18.31
1973,8.95,17.98
1974,8.47,18.26
1975,8.74,17.95
1976,8.35,17.45
1977,8.85,18.88
1978,8.69,17.82
1979,8.73,17.11
1980,8.98,18.77
1981,9.17,18.41
1982,8.64,18.17
1983,9.03,17.2
1984,8.69,18.47
1985,8.66,18.22
1986,8.83,18.83
1987,8.99,18.28
1988,9.2,18.19
1989,8.92,17.48
1990,9.23,18.97
1991,9.18,18.47
1992,8.84,18.19
1993,8.87,17.82
1994,9.04,18.31
1995,9.35,18.45
1996,9.04,18.43
1997,9.2,17.85
1998,9.52,19.85
1999,9.29,19.61
2000,9.2,18.9
2001,9.41,18.55
2002,9.57,18.19
2003,9.53,18.55
2004,9.32,18.58
2005,9.7,19.13
2006,9.53,19.85
2007,9.73,18.42
2008,9.43,18.52
2009,9.51,18.42
2010,9.7,18.69
2011,9.52,19.69
2012,9.51,19.99
2013,9.61,20.45
